id;day;start_time;end_time;organization_id
1;Monday;08:00:00;18:00:00;1
2;Tuesday;08:00:00;18:00:00;1
3;Thursday;08:00:00;19:00:00;1
4;Friday;08:00:00;19:00:00;1
5;Saturday;08:00:00;16:00:00;1
6;Monday;08:00:00;18:00:00;2
7;Tuesday;08:00:00;18:00:00;2
8;Thursday;08:00:00;19:00:00;2
9;Friday;08:00:00;19:00:00;2
10;Saturday;08:00:00;16:00:00;2
11;Monday;08:00:00;18:00:00;3
12;Tuesday;08:00:00;18:00:00;3
13;Thursday;08:00:00;19:00:00;3
14;Friday;08:00:00;19:00:00;3
15;Saturday;08:00:00;16:00:00;3
16;Monday;08:00:00;18:00:00;4
17;Tuesday;08:00:00;18:00:00;4
18;Thursday;08:00:00;19:00:00;4
19;Friday;08:00:00;19:00:00;4
20;Saturday;08:00:00;16:00:00;4
21;Monday;08:00:00;18:00:00;5
22;Tuesday;08:00:00;18:00:00;5
23;Thursday;08:00:00;19:00:00;5
24;Friday;08:00:00;19:00:00;5
25;Saturday;08:00:00;16:00:00;5
26;Monday;08:00:00;18:00:00;6
27;Tuesday;08:00:00;18:00:00;6
28;Thursday;08:00:00;19:00:00;6
29;Friday;08:00:00;19:00:00;6
30;Saturday;08:00:00;16:00:00;6
31;Monday;08:00:00;18:00:00;7
32;Tuesday;08:00:00;18:00:00;7
33;Thursday;08:00:00;19:00:00;7
34;Friday;08:00:00;19:00:00;7
35;Saturday;08:00:00;16:00:00;7
36;Monday;08:00:00;18:00:00;8
37;Tuesday;08:00:00;18:00:00;8
38;Thursday;08:00:00;19:00:00;8
39;Friday;08:00:00;19:00:00;8
40;Saturday;08:00:00;16:00:00;8
41;Monday;08:00:00;18:00:00;9
42;Tuesday;08:00:00;18:00:00;9
43;Thursday;08:00:00;19:00:00;9
44;Friday;08:00:00;19:00:00;9
45;Saturday;08:00:00;16:00:00;9
46;Monday;08:00:00;18:00:00;10
47;Tuesday;08:00:00;18:00:00;10
48;Thursday;08:00:00;19:00:00;10
49;Friday;08:00:00;19:00:00;10
50;Saturday;08:00:00;16:00:00;10
51;Monday;08:00:00;18:00:00;11
52;Tuesday;08:00:00;18:00:00;11
53;Thursday;08:00:00;19:00:00;11
54;Friday;08:00:00;19:00:00;11
55;Saturday;08:00:00;16:00:00;11
56;Monday;08:00:00;18:00:00;12
57;Tuesday;08:00:00;18:00:00;12
58;Thursday;08:00:00;19:00:00;12
59;Friday;08:00:00;19:00:00;12
60;Saturday;08:00:00;16:00:00;12
61;Monday;08:00:00;18:00:00;13
62;Tuesday;08:00:00;18:00:00;13
63;Thursday;08:00:00;19:00:00;13
64;Friday;08:00:00;19:00:00;13
65;Saturday;08:00:00;16:00:00;13
66;Monday;08:00:00;18:00:00;14
67;Tuesday;08:00:00;18:00:00;14
68;Thursday;08:00:00;19:00:00;14
69;Friday;08:00:00;19:00:00;14
70;Saturday;08:00:00;16:00:00;14
71;Monday;08:00:00;18:00:00;15
72;Tuesday;08:00:00;18:00:00;15
73;Thursday;08:00:00;19:00:00;15
74;Friday;08:00:00;19:00:00;15
75;Saturday;08:00:00;16:00:00;15
76;Monday;08:00:00;18:00:00;16
77;Tuesday;08:00:00;18:00:00;16
78;Thursday;08:00:00;19:00:00;16
79;Friday;08:00:00;19:00:00;16
80;Saturday;08:00:00;16:00:00;16
81;Monday;08:00:00;18:00:00;17
82;Tuesday;08:00:00;18:00:00;17
83;Thursday;08:00:00;19:00:00;17
84;Friday;08:00:00;19:00:00;17
85;Saturday;08:00:00;16:00:00;17
86;Monday;08:00:00;18:00:00;18
87;Tuesday;08:00:00;18:00:00;18
88;Thursday;08:00:00;19:00:00;18
89;Friday;08:00:00;19:00:00;18
90;Saturday;08:00:00;16:00:00;18
91;Monday;08:00:00;18:00:00;19
92;Tuesday;08:00:00;18:00:00;19
93;Thursday;08:00:00;19:00:00;19
94;Friday;08:00:00;19:00:00;19
95;Saturday;08:00:00;16:00:00;19
96;Monday;08:00:00;18:00:00;20
97;Tuesday;08:00:00;18:00:00;20
98;Thursday;08:00:00;19:00:00;20
99;Friday;08:00:00;19:00:00;20
100;Saturday;08:00:00;16:00:00;20
101;Monday;08:00:00;18:00:00;21
102;Tuesday;08:00:00;18:00:00;21
103;Thursday;08:00:00;19:00:00;21
104;Friday;08:00:00;19:00:00;21
105;Saturday;08:00:00;16:00:00;21
106;Monday;08:00:00;18:00:00;22
107;Tuesday;08:00:00;18:00:00;22
108;Thursday;08:00:00;19:00:00;22
109;Friday;08:00:00;19:00:00;22
110;Saturday;08:00:00;16:00:00;22
111;Monday;08:00:00;18:00:00;23
112;Tuesday;08:00:00;18:00:00;23
113;Thursday;08:00:00;19:00:00;23
114;Friday;08:00:00;19:00:00;23
115;Saturday;08:00:00;16:00:00;23
116;Monday;08:00:00;18:00:00;24
117;Tuesday;08:00:00;18:00:00;24
118;Thursday;08:00:00;19:00:00;24
119;Friday;08:00:00;19:00:00;24
120;Saturday;08:00:00;16:00:00;24
121;Monday;08:00:00;18:00:00;25
122;Tuesday;08:00:00;18:00:00;25
123;Thursday;08:00:00;19:00:00;25
124;Friday;08:00:00;19:00:00;25
125;Saturday;08:00:00;16:00:00;25
126;Monday;08:00:00;18:00:00;26
127;Tuesday;08:00:00;18:00:00;26
128;Thursday;08:00:00;19:00:00;26
129;Friday;08:00:00;19:00:00;26
130;Saturday;08:00:00;16:00:00;26
131;Monday;08:00:00;18:00:00;27
132;Tuesday;08:00:00;18:00:00;27
133;Thursday;08:00:00;19:00:00;27
134;Friday;08:00:00;19:00:00;27
135;Saturday;08:00:00;16:00:00;27
136;Monday;08:00:00;18:00:00;28
137;Tuesday;08:00:00;18:00:00;28
138;Thursday;08:00:00;19:00:00;28
139;Friday;08:00:00;19:00:00;28
140;Saturday;08:00:00;16:00:00;28
141;Monday;08:00:00;18:00:00;29
142;Tuesday;08:00:00;18:00:00;29
143;Thursday;08:00:00;19:00:00;29
144;Friday;08:00:00;19:00:00;29
145;Saturday;08:00:00;16:00:00;29
146;Monday;08:00:00;18:00:00;30
147;Tuesday;08:00:00;18:00:00;30
148;Thursday;08:00:00;19:00:00;30
149;Friday;08:00:00;19:00:00;30
150;Saturday;08:00:00;16:00:00;30
151;Monday;08:00:00;18:00:00;31
152;Tuesday;08:00:00;18:00:00;31
153;Thursday;08:00:00;19:00:00;31
154;Friday;08:00:00;19:00:00;31
155;Saturday;08:00:00;16:00:00;31
156;Monday;08:00:00;18:00:00;32
157;Tuesday;08:00:00;18:00:00;32
158;Thursday;08:00:00;19:00:00;32
159;Friday;08:00:00;19:00:00;32
160;Saturday;08:00:00;16:00:00;32
161;Monday;08:00:00;18:00:00;33
162;Tuesday;08:00:00;18:00:00;33
163;Thursday;08:00:00;19:00:00;33
164;Friday;08:00:00;19:00:00;33
165;Saturday;08:00:00;16:00:00;33
166;Monday;08:00:00;18:00:00;34
167;Tuesday;08:00:00;18:00:00;34
168;Thursday;08:00:00;19:00:00;34
169;Friday;08:00:00;19:00:00;34
170;Saturday;08:00:00;16:00:00;34
171;Monday;08:00:00;18:00:00;35
172;Tuesday;08:00:00;18:00:00;35
173;Thursday;08:00:00;19:00:00;35
174;Friday;08:00:00;19:00:00;35
175;Saturday;08:00:00;16:00:00;35
176;Monday;08:00:00;18:00:00;36
177;Tuesday;08:00:00;18:00:00;36
178;Thursday;08:00:00;19:00:00;36
179;Friday;08:00:00;19:00:00;36
180;Saturday;08:00:00;16:00:00;36
181;Monday;08:00:00;18:00:00;37
182;Tuesday;08:00:00;18:00:00;37
183;Thursday;08:00:00;19:00:00;37
184;Friday;08:00:00;19:00:00;37
185;Saturday;08:00:00;16:00:00;37
186;Monday;08:00:00;18:00:00;38
187;Tuesday;08:00:00;18:00:00;38
188;Thursday;08:00:00;19:00:00;38
189;Friday;08:00:00;19:00:00;38
190;Saturday;08:00:00;16:00:00;38
191;Monday;08:00:00;18:00:00;39
192;Tuesday;08:00:00;18:00:00;39
193;Thursday;08:00:00;19:00:00;39
194;Friday;08:00:00;19:00:00;39
195;Saturday;08:00:00;16:00:00;39
196;Monday;08:00:00;18:00:00;40
197;Tuesday;08:00:00;18:00:00;40
198;Thursday;08:00:00;19:00:00;40
199;Friday;08:00:00;19:00:00;40
200;Saturday;08:00:00;16:00:00;40
201;Monday;08:00:00;18:00:00;41
202;Tuesday;08:00:00;18:00:00;41
203;Thursday;08:00:00;19:00:00;41
204;Friday;08:00:00;19:00:00;41
